artista,biografia
Olena Yuriivna Shostko," <a href=""https://www.last.fm/music/Olena+Yuriivna+Shostko"">Read more on Last.fm</a>"
Dmitri Shostakovich,"Dmitri Dmitriyevich Shostakovich (Russian: Дмитрий Дмитриевич Шостакович) (September 25 [O.S. September 12] 1906, (St Petersburg, Russia) – August 9, 1975) was a Russian composer of the Soviet period.

Shostakovich had a complex and difficult relationship with the Soviet government, suffering two official denunciations of his music, in 1936 and 1948, and the periodic banning of his work. At the same time, he received a number of accolades and state awards and served in the Supreme Soviet. <a href=""https://www.last.fm/music/Dmitri+Shostakovich"">Read more on Last.fm</a>"
Franz Liszt,"Franz Liszt (22 October 1811 – 31 July 1886) was a Hungarian composer, virtuoso pianist, conductor, and teacher of the Romantic period. With a career spanning over six decades, he produced a substantial and varied body of work and is considered one of the most prolific and influential composers of his time. His piano compositions remain widely performed and recorded.

Liszt began his career as a concert pianist at a young age, studying under Carl Czerny and Antonio Salieri. <a href=""https://www.last.fm/music/Franz+Liszt"">Read more on Last.fm</a>"
An-Lun Huang,"An-Lun Huang is a composer based in the Greater Toronto area.   A collection of his piano works, performed by pianist Xing Rong, was release in 2018. <a href=""https://www.last.fm/music/An-Lun+Huang"">Read more on Last.fm</a>"
Herbert Howells,"Herbert Norman Howells CH, CBE (1892–1983) was an English composer, organist, and teacher, most famous for his large output of Anglican church music.

Howells was born on the 17th October 1892 in Lydney, Gloucestershire, and was the youngest of six children. His father was an amateur organist, and Herbert showed early musical promise. He studied first with Herbert Brewer at Gloucester Cathedral, as an articled pupil alongside Ivor Novello and Ivor Gurney, the celebrated English songwriter and poet, with whom he became great friends. <a href=""https://www.last.fm/music/Herbert+Howells"">Read more on Last.fm</a>"
Carlos Gardel,"Carlos Gardel (born Charles Romuald Gardes; 11 December 1890 – 24 June 1935) was an Argentine tango singer, songwriter, composer and actor, and is perhaps the most prominent figure in the history of tango. Gardel died in an airplane crash at the height of his career, becoming an archetypal tragic hero mourned throughout Latin America. For many, Gardel embodies the soul of the tango style. He is commonly referred to as ""Carlitos"", ""El Zorzal"" (The Song Thrush) <a href=""https://www.last.fm/music/Carlos+Gardel"">Read more on Last.fm</a>"
Johann Nepomuk Hummel,"Johann Nepomuk Hummel or Jan Nepomuk Hummel (14 November 1778 – 17 October 1837) was a composer and virtuoso pianist of Austrian origin who was born in Bratislava (present-day Slovakia). His music reflects the transition from the Classical to the Romantic musical era.

Hummel was born in Pressburg (also known as Pozsony, in what was then Hungary but is now Bratislava), Slovakia. His father, Josef Hummel, was the director of the Imperial School of Military Music and the conductor of the Theater Orchestra. <a href=""https://www.last.fm/music/Johann+Nepomuk+Hummel"">Read more on Last.fm</a>"
Radamés Gnattali,"Radamés Gnattali (January 27, 1906 - January 13, 1988), was a Brazilian classical composer, conductor, orchestrator, and arranger.
Radamés Gnattali was born in Porto Alegre, the son of Alessandro Gnattali and Adélia Fossati. Both his father and mother were musicians. Gnattali was a pianist and violinist early in his career, but soon after moving from Porto Alegre to Rio de Janeiro he became a successful conductor, composer and arranger. Though his first works were background scores for radio serials <a href=""https://www.last.fm/music/+noredirect/Radam%C3%A9s+Gnattali"">Read more on Last.fm</a>"
Michael Gielen,"Michael Andreas Gielen (born July 20, 1927 in Dresden - died March 8, 2019 Mondsee/ Salzkammergut) was an Austrian composer and conductor.

Gielen was born in Dresden, Germany, and began his career as a pianist in Buenos Aires, where he studied with Erwin Leuchter and gave an early performance of Arnold Schoenberg's complete piano works in 1949. While serving as conductor and répétiteur at the Wiener Staatsoper (1950–60), he conducted much contemporary music outside the opera house. <a href=""https://www.last.fm/music/Michael+Gielen"">Read more on Last.fm</a>"
Johann Baptist Vanhal,"Johann Baptist Vanhal, originally  Jan Křtitel Vaňhal  (1739-1813) was a Czech composer of the classical period.

Born on 12th May 1739 in Nechanice, Bohemia, to a Czech peasant family, Vanhal received his early training from a local musician, and went on to earn a living as a village organist and choirmaster. The Countess Schaffgotsch, who heard him playing the violin, took him to Vienna in 1760 where she arranged lessons in composition with Carl Ditters von Dittersdorf. <a href=""https://www.last.fm/music/Johann+Baptist+Vanhal"">Read more on Last.fm</a>"
Ariel Ramírez,"Ariel Ramírez (4 September 1921 – 18 February 2010) was an Argentine composer, pianist and music director. He was considered ""a chief exponent of Argentine folk music"" and noted for his ""iconic"" musical compositions.

Ramírez is known primarily for his Misa Criolla (1964). It allowed him to travel around Europe and Latin America to build his reputation. He had more than 300 compositions during his career and sold millions of albums. By the time he died in 2010, his work was globally renowned. <a href=""https://www.last.fm/music/+noredirect/Ariel+Ram%C3%ADrez"">Read more on Last.fm</a>"
Hector Berlioz,"Louis Hector Berlioz (born 11 December 1803; died 8 March 1869) was a French Romantic composer best known for the Symphonie fantastique, first performed in 1830, and for his Requiem - Grande messe des morts - of 1837, with its tremendous resources that include four antiphonal brass choirs. Berlioz was born in France at La Côte-Saint-André in the département of Isère, between Lyon and Grenoble. His father was a physician, and young Hector was sent to Paris to study medicine at the age of eighteen. <a href=""https://www.last.fm/music/Hector+Berlioz"">Read more on Last.fm</a>"
Rahul Vellal," <a href=""https://www.last.fm/music/Rahul+Vellal"">Read more on Last.fm</a>"
Matteo Carcassi,"Born in 1792, Matteo Carcassi was an Italian guitarist & composer. Spending most of his live in Paris (where he died on 16th January 1853) he traveled widely across Europe where he gained a reputation as a virtuoso. He visited London in 1822, returning the following year with renewed success and again in 1828. He also toured extensively in Germany in 1824 & 1827.

Matteo Carcassi composed many pieces for the guitar, including a popular ""method"" (Op. <a href=""https://www.last.fm/music/Matteo+Carcassi"">Read more on Last.fm</a>"
Roman Berger,"Roman Berger (* 9 August 1930 in Cieszyn, Poland) is a Slovak music composer, musicologist and philosopher of music. <a href=""https://www.last.fm/music/Roman+Berger"">Read more on Last.fm</a>"
Mario Castelnuovo-Tedesco,"Mario Castelnuovo-Tedesco (April 3, 1895 – March 16, 1968) was an Italian composer. Born in Florence, he eventually emigrated to the United States in 1939.

Castelnuovo-Tedesco was first introduced to the piano by his mother, and he composed his first pieces when he was just nine years old. After completing a degree in piano in 1914, he began studying composition under renowned Italian composer Ildebrando Pizzetti, and receiving a diploma in composition in 1918. <a href=""https://www.last.fm/music/Mario+Castelnuovo-Tedesco"">Read more on Last.fm</a>"
Jacqueline Fontyn,"Jacqueline Fontyn was born in Antwerp, where, at the age of five, her parents entrusted her to the wonderful Russian piano teacher Ignace Bolotine. She had lessons daily, and Bolotine encouraged her to develop her taste for improvisation. At the age of fifteen, she decided to become a composer. She received her grounding in the techniques of composition from Marcel Quinet in Brussels. She continued her musical education in Paris with Max Deutsch, a fervent disciple of Schoenberg. <a href=""https://www.last.fm/music/Jacqueline+Fontyn"">Read more on Last.fm</a>"
Jules Massenet,"Jules Émile Frédéric Massenet (May 12, 1842 – August 13, 1912) was a French composer from Montaud, France, who was best known for his operas.

His compositions were very popular in the late 19th and early 20th centuries, and he ranks as one of the greatest melodists of his era. Soon after his death, Massenet's style went out of fashion, and many of his operas fell into almost total oblivion. Apart from Manon and Werther, his works were rarely performed. <a href=""https://www.last.fm/music/Jules+Massenet"">Read more on Last.fm</a>"
Ignaz Pleyel,"Ignace Pleyel (June 18, 1757–November 14, 1831) was an Austrian-born composer of the Classical period.

He was born in Ruppersthal in Lower Austria, the son of a schoolmaster named Martin Pleyl. While still young he probably studied with Johann Baptist Vanhal, and from 1772 he became the pupil of Joseph Haydn in Eisenstadt. As with Beethoven, born 13 years later, Pleyel benefited in his study from the sponsorship of aristocracy, in this case Count Ladislaus Erdődy (1746-1786). <a href=""https://www.last.fm/music/Ignaz+Pleyel"">Read more on Last.fm</a>"
Franz Danzi,"Franz Ignaz Danzi (June 15, 1763 - April 13, 1826) was a German cellist, composer and conductor, the son of the noted Italian cellist Innocenz Danzi. Born in Schwetzingen, Franz Danzi worked in Mannheim, Munich, Stuttgart and Karlsruhe, where he died.

Danzi lived at a significant time in the history of European concert music. His career, spanning the transition from the late Classical to the early Romantic styles, coincided with the origin of much <a href=""https://www.last.fm/music/Franz+Danzi"">Read more on Last.fm</a>"
Heitor Villa-Lobos,"Heitor Villa-Lobos (March 5, 1887 —  November 17, 1959) was a pioneering Brazilian modernist composer. He penned twelve symphonies, four operas, five ballets, and one of the most important string quartet cycles of the twentieth century. His music is noted for its exotic sound palette and formal inventiveness, influenced both by Brazilian folk music and stylistic elements from the European classical tradition.

Villa-Lobos was born in Rio de Janeiro. <a href=""https://www.last.fm/music/Heitor+Villa-Lobos"">Read more on Last.fm</a>"
Carl Philipp Emanuel Bach,"Carl Philipp Emanuel Bach (8 March 1714 – 14 December 1788) was a German composer active during the transitional period between the Baroque and Classical eras. He was the fifth child and second surviving son of Johann Sebastian Bach and Maria Barbara Bach. Often referred to as C. P. E. Bach, he was a key figure in the development of a new musical style distinct from that of his father.

C. P. E. Bach was a prominent representative of the empfindsamer Stil <a href=""https://www.last.fm/music/Carl+Philipp+Emanuel+Bach"">Read more on Last.fm</a>"
James Whitbourn,"James Whitbourn (born 17 August 1963) is a British composer and conductor.

James Whitbourn was born in Kent and educated at Skinners' School and Magdalen College, Oxford, where he studied Music. His international reputation as a composer developed from his early career as a programme maker at the BBC, during which he produced many award-winning programmes and developed a style known for its direct connection with audiences. His close association with the BBC Philharmonic resulted in three large-scale commissions for voices and orchestra. <a href=""https://www.last.fm/music/James+Whitbourn"">Read more on Last.fm</a>"
Charles-Marie Widor,"Charles-Marie Jean Albert Widor (1844–1937) was a French organist, composer, and teacher.

Widor was born on 24th February 1844 in Lyon to a family of organ-builders, and initially studied music there with his father, who was an organist himself. The French organ builder Aristide Cavaillé-Coll, reviver of the art of organ-building, was a friend of the Widor family: he arranged for the talented young organist to study in Brussels, with Jacques Lemmens for organ technique and with François-Joseph Fétis <a href=""https://www.last.fm/music/Charles-Marie+Widor"">Read more on Last.fm</a>"
Carl Heinrich Graun,"Carl Heinrich Graun (7 May 1704  – 8 August 1759) was a German composer and tenor singer. Along with Johann Adolf Hasse, he is considered to be the most important German composer of Italian opera of his time.

Graun was born in Wahrenbrück in Brandenburg. He sang in the chorus of the Dresden opera before moving to Braunschweig, singing there and writing six operas for the company. In 1735 Graun moved to Rheinsberg, after he had written an opera for the crown prince, when marrying Elisabeth Christine in Salzdahlum. <a href=""https://www.last.fm/music/Carl+Heinrich+Graun"">Read more on Last.fm</a>"
Ottorino Respighi,"Ottorino Respighi (July 9, 1879 - April 18, 1936) was born in Bologna, Italy. He was taught piano and violin by his father, who was a local piano teacher. He continued studying violin and viola with Federico Sarti at the Liceo Musicale in Bologna, composition with Giuseppe Martucci, and historical studies with Luigi Torchi, a scholar of early music. In 1900, Respighi went to Russia to be principal violist in the orchestra of the Russian Imperial Theatre <a href=""https://www.last.fm/music/Ottorino+Respighi"">Read more on Last.fm</a>"
Muzio Clementi,"Muzio Clementi (1752–1832) was a classical composer, and acknowledged as the first to write specifically for the piano. He is best known for his collection of piano studies, Gradus ad Parnassum.

Clementi was born in Rome on 24thJanuary 1752, the first of seven children, to Nicolò Clementi, a highly respected silversmith and Roman by heritage, and Magdalena Kaiser, who was Swiss. His musical talent became clear at an early age: by the age of seven he was in musical instruction <a href=""https://www.last.fm/music/Muzio+Clementi"">Read more on Last.fm</a>"
Gioachino Rossini,"This is not a mistagged artist.  Though ""Gioacchino"" is the familiar spelling of the name, Rossini himself more usually adopted the spelling ""Gioachino"". This is now the accepted spelling of his first name - please see wikipedia for source.

Gioachino Antonio Rossini (February 29, 1792 – November 13, 1868) was a composer of 39 operas as well as sacred music, chamber music, songs, and some instrumental and piano pieces.  He was born in Pesaro, Italy. <a href=""https://www.last.fm/music/+noredirect/Gioachino+Rossini"">Read more on Last.fm</a>"
Tomás Bretón," <a href=""https://www.last.fm/music/+noredirect/Tom%C3%A1s+Bret%C3%B3n"">Read more on Last.fm</a>"
Francesco Petrini,"(b Berlin, 1744; d Paris, 1819). French harpist and composer. He studied the harp under his father (d1750), a harpist at Frederick the Great's court. After serving at the Mecklenburg-Schwerin court, 1765-9, he performed and taught in Paris and published harp concertos, sonatas, duets etc, a harp method and books on harmony. His sister Therese (1736-after 1800) was a singer and harpist in Berlin.
 <a href=""https://www.last.fm/music/Francesco+Petrini"">Read more on Last.fm</a>"
Antonio Soler,"Antonio Francisco Javier José Soler Ramos (baptised 3 December 1729 - 20 December 1783) was a Catalan composer.

He was born in Olot in Girona, Catalonia. He studied composition and the organ as a child, when, at age six, he entered the choir of the Monastery of Montserrat. In 1744 he was appointed organist at the cathedral in Seo de Urgel and appointed as a subdeacon there. Later in his life, he held posts as chapel master in Lleida and El Escorial. <a href=""https://www.last.fm/music/Antonio+Soler"">Read more on Last.fm</a>"
Jean Sibelius,"Jean Sibelius (8 December 1865 – 20 September 1957) was a Finnish composer of the late Romantic and early modern periods. He is widely regarded as Finland's greatest composer, and his music is often credited with contributing to the development of a stronger national identity during a time when the country faced efforts at Russification in the late 19th century.

Sibelius’s core works include seven symphonies, which, along with his other major compositions, are frequently performed and recorded both in Finland and internationally. <a href=""https://www.last.fm/music/Jean+Sibelius"">Read more on Last.fm</a>"
Toru Takemitsu,"Tōru Takemitsu (October 8, 1930 – February 20, 1996) was a Japanese composer and writer on aesthetics and music theory. Though largely self-taught, Takemitsu is recognised for his skill in the subtle manipulation of instrumental and orchestral timbre, drawing from a wide range of influences, including jazz, popular music, avant-garde procedures and traditional Japanese music, in a harmonic idiom largely derived from the music of Claude Debussy and Olivier Messiaen. <a href=""https://www.last.fm/music/+noredirect/Toru+Takemitsu"">Read more on Last.fm</a>"
Arcangelo Corelli,"Arcangelo Corelli (17 February 1653–8 January 1713) was an influential Italian violinist and composer of baroque music.

Corelli was born at Fusignano, in the present-day province of Ravenna. Little is known about his early life. His master on the violin was Bassani, and Matteo Simonelli, the well-known singer of the pope’s chapel, taught him composition.

His first major success was gained in Paris at the age of nineteen, and to this he owed his European reputation. <a href=""https://www.last.fm/music/Arcangelo+Corelli"">Read more on Last.fm</a>"
Bedřich Smetana,"   Bedřich Smetana (2 March 1824 - 12 May 1884) was a Czech composer, one of his nation's most significant. He is best known for his symphonic poem Vltava - Die Moldau , the second in a cycle of six which he entitled Má vlast (""My Homeland""), and for his opera Prodaná nevěsta (""The Bartered Bride"").
   Smetana was the son of a brewer in Litomyšl in Bohemia. He studied piano and violin from an early age, and played in an amateur string quartet with other members of his family. <a href=""https://www.last.fm/music/+noredirect/Bed%C5%99ich+Smetana"">Read more on Last.fm</a>"
Viet Cuong,"Viet Cuong is a Vietnamese-American classical composer now based in Nevada, born in 1990.  His compositions for orchestra or chamber ensembles have been performed around the world. <a href=""https://www.last.fm/music/Viet+Cuong"">Read more on Last.fm</a>"
Carsten Bo Eriksen,"Carsten Bo Eriksen alias MBD73 (born 2 October 1973 in Copenhagen, Denmark) is a Danish 21st-century composer and artist.

He was educated at the Royal Academy of Music as a composer (1997-2003), pupil of Professor Ib Nørholm, Ivar Frounberg and Hans Abrahamsen. As a painter he is self-taught. He had his debut from the extended studies program in composition in 2003. Furthermore he has studied at Berklee College of Music, Massachusetts, US. And has studied the Balinese gamelan music in Ubud, Bali, Indonesia, with the musician Pak Tama. <a href=""https://www.last.fm/music/Carsten+Bo+Eriksen"">Read more on Last.fm</a>"
Luigi Boccherini,"Ridolfo Luigi Boccherini (19 February 1743 – 28 May 1805) was an Italian composer and cellist of the Classical era. His music maintained a courtly and galante style, even though he developed somewhat independently from the main classical musical centres. He is best known for the minuet from his String Quintet in E, Op. 11, No. 5 (G 275), and the Cello Concerto in B flat major (G 482). The latter was long known through a heavily altered version by German cellist and arranger Friedrich Grützmacher <a href=""https://www.last.fm/music/Luigi+Boccherini"">Read more on Last.fm</a>"
Felix Mendelssohn,"Jakob Ludwig Felix Mendelssohn Bartholdy, known as Felix Mendelssohn (1809–1847), was a German composer, pianist, organist, and conductor of the early Romantic period. He was born on 3 February 1809 in Hamburg, Germany, into a prominent Jewish family; his grandfather was the philosopher Moses Mendelssohn. Recognised as a child prodigy, Mendelssohn’s family encouraged his musical pursuits only after he showed serious dedication to the art.

Mendelssohn achieved early success in Germany and later travelled extensively throughout Europe. <a href=""https://www.last.fm/music/Felix+Mendelssohn"">Read more on Last.fm</a>"
Claudio Monteverdi,"Claudio Monteverdi (Cremona, May 15, 1567 – Venice, November 29, 1643) was an Italian composer, violinist and singer.

His work marks the transition from Renaissance to Baroque music. During his long life he produced work that can be classified in both categories, and he was one of the most significant revolutionaries that brought about the change in style. Monteverdi wrote the earliest dramatically viable opera, Orfeo, and was fortunate enough to enjoy fame during his lifetime.  <a href=""https://www.last.fm/music/Claudio+Monteverdi"">Read more on Last.fm</a>"
Francisco Tárrega,"Francisco Tárrega (Francisto Tarrega y Eixea) (1852-11-21 - 1909-12-15) was a Spanish composer and guitarist.

Born in Villarreal, Spain, he fell into an irrigation channel when he was young, which rendered him nearly blind. Partially due to this accident, the family moved to Castellon and enrolled him in music classes. Both his first music teachers, Eugeni Ruiz and Manuel Gonzalez, were blind. In 1862, guitarist Julián Arcas heard the young prodigy and encouraged him to journey to Barcelona, a hub for musicians. <a href=""https://www.last.fm/music/+noredirect/Francisco+T%C3%A1rrega"">Read more on Last.fm</a>"
Bundu Khan,"Ustad Bundu Khan (1880–1955) -بندو خان  was born in Delhi in a family of musicians. He received his early training in sarangi from his father Ali Jan Khan and later from his uncle Mamman Khan. His complete mastery over his delicate and difficult instrument not only placed him on the top rung of the subcontinents sarangi players but also one of the most proficient Hindustani instrumentalists of the 20th century. He was awarded the Pride of Performance by the Government of Pakistan in 1985. <a href=""https://www.last.fm/music/Bundu+Khan"">Read more on Last.fm</a>"
Antonio Lauro,"Antonio Lauro (August 3, 1917 – April 18, 1986) was a Venezuelan composer, considered to be one of the foremost South American composers for the guitar in the 20th century.

Antonio Lauro was born in Ciudad Bolívar, Venezuela. His father, an Italian immigrant, was a barber who could sing and play the guitar so he taught his son what he could, but died when Antonio was still a child. After the family moved to Caracas, Lauro pursued formal musical study (piano <a href=""https://www.last.fm/music/Antonio+Lauro"">Read more on Last.fm</a>"
Arthur Moreira Lima,"Arthur Moreira Lima was a towering figure in the world of classical music, celebrated as one of Brazil’s greatest pianists. Born on July 16, 1940, in Rio de Janeiro, he mesmerized audiences worldwide with his unparalleled technical brilliance and emotional depth. A true virtuoso, he earned international acclaim by winning top prizes at prestigious competitions, including the Chopin International Piano Competition in 1965, where his performances were hailed as among the finest in the event's history. <a href=""https://www.last.fm/music/Arthur+Moreira+Lima"">Read more on Last.fm</a>"
Fernando Sor,"Fernando Sor, (baptized Joseph Fernando Macari Sors or José Fernando Macarurio Sors February 14, 1778 – July 10, 1839) was a Spanish guitarist and composer, born in Barcelona. In Spain he is sometimes known as the ""Beethoven of the Guitar.""

Born to a fairly well-off family, Sor was descended from a long line of career soldiers, and intended to continue that legacy, but was distracted from this when his father introduced him to Italian opera. He fell in love with music and abandoned a military career. <a href=""https://www.last.fm/music/Fernando+Sor"">Read more on Last.fm</a>"
Alicia de Larrocha,"Alicia de Larrocha y de la Calle (23 May 1923 – 25 September 2009) was a Spanish pianist, widely considered to be one of the greatest of her generation

She was born in Barcelona, and began studying piano with Frank Marshall in Spain at age three. She performed her first concert at the age of six at the World's Fair in Seville in 1929, and had her orchestral debut at the age of 11. She began touring internationally in 1947, and in 1954 toured North America with the Los Angeles Philharmonic. <a href=""https://www.last.fm/music/Alicia+de+Larrocha"">Read more on Last.fm</a>"
Barkat Ali Khan," <a href=""https://www.last.fm/music/Barkat+Ali+Khan"">Read more on Last.fm</a>"
Vincent Persichetti,"Vincent Ludwig Persichetti (June 6, 1915 – August 14, 1987) was an American composer, teacher, and pianist. An important musical educator and writer, Persichetti was a native of Philadelphia. He was known for his integration of various new ideas in musical composition into his own work and teaching, and for training many noted composers in composition at the Juilliard School. His students at the Juilliard School included Philip Glass, Charles L. <a href=""https://www.last.fm/music/Vincent+Persichetti"">Read more on Last.fm</a>"
Allan Pettersson,"Gustaf Allan Pettersson (1911-1980) is known especially for creating massive, complex, challenging single movement symphonic structures that highlight despair and gut wrenching pain. Born Sep 19th, 1911 in Västra Rya, Sweden, he was victim to an abusive, alcoholic father who as an atheist clashed with his deeply religious mother. Petterson’s musical style can best be understood from his despaired childhood and his later struggles with health.  <a href=""https://www.last.fm/music/Allan+Pettersson"">Read more on Last.fm</a>"
Severin van Dijk," <a href=""https://www.last.fm/music/Severin+van+Dijk"">Read more on Last.fm</a>"
Matthew Welch,"American composer and Great Highland Bagpipe player born in 1976. Having studied composition under Barry Truax, Rodney Sharman, Alvin Lucier and Anthony Braxton and Great Highland Bagpipe under Colin MacLellan, Jack Lee, Angus MacLellan & Andrew Wright, he holds a BA from Simon Fraser University (1999) and an MA from Wesleyan University (2001). He has composed in a range of styles, from traditionalist bagpipe music to electronic pieces for solo to ensemble to orchestral arrangements <a href=""https://www.last.fm/music/Matthew+Welch"">Read more on Last.fm</a>"
Nils Henrik Asheim,"Nils Henrik Asheim (born 20. January 1960) is a Norwegian composer and organist who lives in Stavanger.

Asheim studied at Norges Musikkhøgskole (Norwegian Academy of Music) and the Sweelinck conservatory in Amsterdam. He has composed chamber music, orchestral works, church music, music theaters and computer based music.

He composed the official fanfare to the Olympic Winter Games in 1994 at Lillehammer, Norway. The fanfare is recorded with Gardemusikken (the King's Guard Orchestra). <a href=""https://www.last.fm/music/Nils+Henrik+Asheim"">Read more on Last.fm</a>"
Kenneth Fuchs,"Kenneth Fuchs (born: July 1, 1956) is an American composer, conductor, and educator. He is currently Professor of Composition at the University of Connecticut.

Fuchs has composed music for orchestra, band, chorus, and various chamber ensembles. With Pulitzer Prize-winning playwright Lanford Wilson, he created three chamber musicals, The Great Nebula in Orion, A Betrothal, and Brontosaurus, which were originally presented by Circle Repertory Company in New York City. His music is regularly performed in the United States and Europe.
 <a href=""https://www.last.fm/music/Kenneth+Fuchs"">Read more on Last.fm</a>"
Henryk Górecki,"Henryk Mikołaj Górecki (6 December 1933 – 12 November 2010) was a Polish composer of contemporary classical music. According to critic Alex Ross, no recent classical composer has had as much commercial success as Górecki. Górecki became a leading figure of the Polish avant-garde during the post-Stalin cultural thaw. His Webernian-influenced serialist works of the 1950s and 1960s were characterized by adherence to dissonant modernism and drew influence from Luigi Nono, Karlheinz Stockhausen, Krzysztof Penderecki and Kazimierz Serocki. <a href=""https://www.last.fm/music/+noredirect/Henryk+G%C3%B3recki"">Read more on Last.fm</a>"
György Kurtág,"György Kurtág was born on 19th February 1926 at Lugoj in Romania, not far from the birthplace of fellow Hungarian György Ligeti. Both young composers hoped to study with Béla Bartók in Budapest in 1945, but Bartók died in America and Kurtág went on to study piano, composition and chamber music with other teachers at the Budapest Academy. Among his early works was a Korean Cantata which expressed solidarity with the North Koreans in the Korean War against the US <a href=""https://www.last.fm/music/+noredirect/Gy%C3%B6rgy+Kurt%C3%A1g"">Read more on Last.fm</a>"
Ian Venables,"Ian Venables (born 1955) is a British composer of songs and chamber music.

Ian Venables was born in Liverpool in 1955 and was educated at Liverpool Collegiate Grammar School. He studied music with Professor Richard Arnell at Trinity College of Music, London and later with Andrew Downes, John Mayer and John Joubert in Birmingham. His compositions encompass many genres, and in particular he has added significantly to the canon of English art song. Described as ‘…one of the finest song composers of his generation…’ <a href=""https://www.last.fm/music/Ian+Venables"">Read more on Last.fm</a>"
Hisako Hiseki," <a href=""https://www.last.fm/music/Hisako+Hiseki"">Read more on Last.fm</a>"
Richard Barrett,"
 Richard Barrett was born in Swansea in 1959.  He studied composition with Peter Wiegold. 
In 1984 he went to Darmstadt Summer Courses to attend the lectures of Brian Ferneyhough and Hans-Joachim Hespos. 

He has received numerous prizes for his compositional output including:
Kranichsteiner Musikpreis (1986), 
Gaudeamusprijs (1989, for the string quartet I open and close) 
British Composer Award for chamber music (2003, for the string quartet 13 selfportraits) <a href=""https://www.last.fm/music/Richard+Barrett"">Read more on Last.fm</a>"
Alessandro Scarlatti,"Alessandro Scarlatti (2 May 1660 – 24 October 1725) was a Baroque composer especially famous for his operas and chamber cantatas. He is considered the founder of the Neapolitan school of opera. He was the father of two other composers, Domenico Scarlatti and Pietro Filippo Scarlatti.

Scarlatti was born in Sicily, either in Trapani or Palermo. He is generally said to have been a pupil of Giacomo Carissimi in Rome, and there is reason to suppose that he had some connection with northern Italy <a href=""https://www.last.fm/music/Alessandro+Scarlatti"">Read more on Last.fm</a>"
Jaromír Weinberger," <a href=""https://www.last.fm/music/+noredirect/Jarom%C3%ADr+Weinberger"">Read more on Last.fm</a>"
Franz Schmidt,"Franz Schmidt (December 22, 1874 – February 11, 1939) was an Austrian composer, cellist and pianist.

Schmidt was born in Pressburg, in the Austro-Hungarian Empire (this is now Bratislava, Slovakia). He studied piano briefly with Theodor Leschetizky, with whom he clashed. He moved to Vienna with his family in 1888, and studied at the Conservatory there (composition with Robert Fuchs, cello with Ferdinand Hellmesberger and theory with Anton Bruckner), graduating ""with excellence"" in 1896. <a href=""https://www.last.fm/music/Franz+Schmidt"">Read more on Last.fm</a>"
Virgil Thomson,"Virgil Thomson (November 25, 1896 - September 30, 1989) was an American composer from Kansas City, Missouri who was instrumental in the development of the ""American Sound"" in classical music so often associated with the patriotic compositions of Aaron Copland. Thomson displayed an extraordinary intelligence at an early age. As a child, he befriended Alice Smith, granddaughter of Joseph Smith, founder of the Mormon faith. He attended Harvard University, and his tours of Europe with the Harvard Glee Club helped nurture his desire to return there. <a href=""https://www.last.fm/music/Virgil+Thomson"">Read more on Last.fm</a>"
Geoffrey Poole,"Geoffrey Poole

is a contemporary classical composer with a bold and independent outlook. Much of his most characteristic work has been inspired by the mutual interrogation of classical tradition and high folk traditions from Europe, Africa and Asia.  English by birth in 1949 he has also lived in East Africa (1985-7) and in the USA as Visiting Fellow in Composition at Princeton (1997-8), and studied traditional performance in Korea (2008) and Gambia (2009). <a href=""https://www.last.fm/music/Geoffrey+Poole"">Read more on Last.fm</a>"
Fridthjov Anderssen," <a href=""https://www.last.fm/music/Fridthjov+Anderssen"">Read more on Last.fm</a>"
Michael Finnissy,"Michael Finnissy is an English composer and pianist born in Tulse Hill, London in 1946.
Finnissy's own ablilities as a pianist underlie much of his compositions. A significant number of these are piano transcriptions in his very complex style which typically involves irrational musical rhythmic values, virtuosic technique (in the piano pieces) and intricate linear, rather than harmonic, textures. He is often cited as a main member of the so-called New Complexity school, though he does not like the term. <a href=""https://www.last.fm/music/Michael+Finnissy"">Read more on Last.fm</a>"
Andreas Jakob Romberg,"Andreas Jakob Romberg (27 April 1767, Vechta, Oldenburg – 10 November 1821) was a German violinist and composer. 

Romberg learned the violin from his musician father Gerhard Heinrich Romberg and first performed in public at the age of six. In addition to touring Europe, Romberg also joined the Münster Court Orchestra. Composer Bernhard Romberg was his cousin.

He joined the court orchestra of the Prince Elector in Bonn (conducted by the Kapellmeister Andrea Luchesi) in 1790, where he met the young Beethoven. <a href=""https://www.last.fm/music/Andreas+Jakob+Romberg"">Read more on Last.fm</a>"
Paul Hindemith,"Paul Hindemith (1895-1963) was a German composer, violist, violinist, teacher, and conductor.

Born in Hanau, Germany on the 16th November 1895, Hindemith was taught the violin as a child. He entered the Hoch'sche Konservatorium in Frankfurt am Main where he studied conducting, composition and violin under Arnold Mendelssohn and Bernhard Sekles, supporting himself by playing in dance bands and musical-comedy outfits. He led the Frankfurt Opera orchestra <a href=""https://www.last.fm/music/Paul+Hindemith"">Read more on Last.fm</a>"
Danny Clay,"Danny Clay is a composer from Ohio, drawing upon American folklore, genealogy, art education, children's theater, improvisation, digital media, and everything in between.

http://dclaymusic.com/ <a href=""https://www.last.fm/music/Danny+Clay"">Read more on Last.fm</a>"
