artista,biografia
Marilyn Scott,"Marilyn Scott - Biography

To paraphrase from the title of a vintage jazz ballad, ""It Was a Beautiful Three Days in August,"" when singer/songwriter Marilyn Scott fulfilled her long-held dream of recording an acoustic jazz album in New York City the way the legends used to do it - with the singer and musicians all cutting and working out arrangements together in the studio. Christened Every Time We Say Goodbye, the album is a dreamy throwback to a purer aesthetic that marks the 30th anniversary of Ms. <a href=""https://www.last.fm/music/Marilyn+Scott"">Read more on Last.fm</a>"
Monika Hoffman,"Many cultures lie in the singer/songwriter Monika Hoffman. Her father is Swedish and her mother Hungarian, and even though Monika was born in Malmö, Sweden, she grew up speaking fluent Hungarian and English. Monika believes that because of her Latvian, Hungarian and Swedish roots she feels at home in a variety of musical genres. 

Music has been Monika’s whole life, she started playing the violin when she was three years old then the piano and the saxophone came along. <a href=""https://www.last.fm/music/Monika+Hoffman"">Read more on Last.fm</a>"
Memphis Jazzers," <a href=""https://www.last.fm/music/Memphis+Jazzers"">Read more on Last.fm</a>"
Kirk Lightsey,"Kirkland ""Kirk"" Lightsey (b. Feb. 15, 1937, Detroit, Michigan) is an American jazz pianist.
Lightsey had piano instruction from age five and studied piano and clarinet through high school. After service in the Army, Lightsey worked in Detroit and California in the 1960s as an accompanist to singers. He also worked with jazz musicians such as Yusef Lateef, Betty Carter, Pharoah Sanders, Bobby Hutcherson, Sonny Stitt, Chet Baker, and Kenny Burrell. From 1979 to 1983 he toured with Dexter Gordon and was a member of The Leaders in the late 1980s. <a href=""https://www.last.fm/music/Kirk+Lightsey"">Read more on Last.fm</a>"
Somewhere Off Jazz Street,"Somewhere off Jazz Street is the jazz influenced music project of musician Buz Hendricks. The dark, late night sound mixes improvisation, sound effects and the sound of the saxophone. The music is all played by Buz using electronically generated sounds played from a keyboard.  

SOJS Website | Bandcamp | Facebook | Soundcloud


http://www.last.fm/user/buzjaz  <a href=""https://www.last.fm/music/Somewhere+off+Jazz+Street"">Read more on Last.fm</a>"
David Hazeltine Trio," <a href=""https://www.last.fm/music/David+Hazeltine+Trio"">Read more on Last.fm</a>"
Steiger,"Young trio that mixes rock, classical music and electronic influences with free form and more traditional jazz styles. With
Gilles Vandecaveye (piano), Kobe Boon (bass) & Simon Raman (drums) <a href=""https://www.last.fm/music/Steiger"">Read more on Last.fm</a>"
Akiko Tsuruga,"Akiko Tsuruga (敦賀明子 Tsuruga Akiko?) is a jazz composer, Hammond B-3 organist and pianist from Osaka, Japan. A graduate of the Osaka College of Music, she has resided in New York City since 2001.

In addition to her solo work, she plays as a sideman in various groups in NYC.

Akiko Tsuruga has a YouTube channel: http://www.youtube.com/user/organqueen <a href=""https://www.last.fm/music/Akiko+Tsuruga"">Read more on Last.fm</a>"
Claude Cozens Trio," <a href=""https://www.last.fm/music/Claude+Cozens+Trio"">Read more on Last.fm</a>"
Aga Zaryan,"Aga Zaryan (born Agnieszka Skrzypek January 17, 1976) is an internationally recognized jazz vocalist of the new generation. 
She is known for her distinctive style, class and intimate approach to singing, with a characteristic lightness of phrasing and warm, slightly matte-toned voice.
Aga Zaryan has been successful in integrating ambitious artistic goals with popular appeal, recording four albums to date, all of which have earned gold, platinum or multi-platinum status in Poland. <a href=""https://www.last.fm/music/Aga+Zaryan"">Read more on Last.fm</a>"
Ole Swing," <a href=""https://www.last.fm/music/Ole+Swing"">Read more on Last.fm</a>"
Herbie Mann,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), better known as Herbie Mann, was an American jazz flautist who had an interest in traditional music of other cultures. 

Herbie Mann was born in Brooklyn, New York. Early in his career, he played saxophone and clarinet, but Mann was among the first jazz musicians to specialize on the flute and was perhaps jazz music's preminent flautist during the 1960s.

Mann was quite prolific and performed often. <a href=""https://www.last.fm/music/Herbie+Mann"">Read more on Last.fm</a>"
Carme Canela,"Carme Canela cursa estudios con Dee Kohanna en el Aula de Música Moderna de Barcelona y en el Taller de Músics. Estudia técnica vocal con Joaquim Proubasta y Maya Mayska y asiste a diversos seminarios internacionales con profesores como Sheila Jordan entre otros. A los 16 años inicia su carrera musical como vocalista de la Orquestra Encantada con la que graba 4 Lps.
Ha colaborado con músicos del ámbito jazzístico internacional como David Xirgu <a href=""https://www.last.fm/music/Carme+Canela"">Read more on Last.fm</a>"
Martin Liege," <a href=""https://www.last.fm/music/Martin+Liege"">Read more on Last.fm</a>"
James Butler," <a href=""https://www.last.fm/music/James+Butler"">Read more on Last.fm</a>"
Cab Calloway & His Orchestra,"Cab Calloway (December 25, 1907–November 18, 1994) was a famous American jazz singer and bandleader. Calloway was a master of energetic scat singing and led one of the United States' most popular African American big bands from the start of the 1930s through the late 1940s. Calloway's Orchestra featured performers that included trumpeters Dizzy Gillespie and Adolphus ""Doc"" Cheatham, saxophonists Ben Webster and Leon ""Chu"" Berry, New Orleans guitar ace Danny Barker, and bassist Milt Hinton. <a href=""https://www.last.fm/music/Cab+Calloway+&+His+Orchestra"">Read more on Last.fm</a>"
"Earth, Wind & Fire","Earth, Wind & Fire (EW&F or EWF) is an American band whose music spans the genres of jazz, R&B, soul, funk, disco, pop, Latin, and Afro-pop. They are among the best-selling bands of all time, with sales of over 90 million records worldwide. The band was formed in Chicago by Maurice White in 1969, growing out of the Salty Peppers. Prominent members have included Verdine White, Philip Bailey, Ralph Johnson, Larry Dunn, Al McKay, Roland Bautista, Robert Brookins, Sonny Emory, Fred Ravel, Ronnie Laws, Sheldon Reynolds, and Andrew Woolfolk. <a href=""https://www.last.fm/music/Earth,+Wind+&+Fire"">Read more on Last.fm</a>"
Alberto Tarin,"Spanish guitar legend Alberto Tarin, with almost 30 years as a musican and composer, keeps on doing beautiful music in his personal jazz & reggae approaching.
After touring all over the world and hitting the spanish charts in the 90´s with his compositions inside the group ""Seguridad Social"" (3 Spanish Gold awards and 1 Spanish Platinum award), he becomes internationally reknowned as a soloist, sharing credits with George Benson, Eric Clapton, Carlos Santana, Pat Metheny, Jeff Beck. <a href=""https://www.last.fm/music/Alberto+Tarin"">Read more on Last.fm</a>"
Jeanette Lindström,"Swedish vocalist Jeanette Lindström once prompted legendary music producer Quincy Jones to voice the portentous words: ""An old soul in a young singer"", and: ""She really understands what jazz is all about!""

In 1995, Lindström made her major breakthrough. After being awarded the ""Jazz in Sweden"" prize, she recorded her debut album, Another Country, on the Caprice record label that year. This was followed in 1997 by I Saw You. In 1998 she recorded and toured with Norrbotten Big Band <a href=""https://www.last.fm/music/Jeanette+Lindstr%C3%B6m"">Read more on Last.fm</a>"
Oscar Aleman,"Oscar Marcelo Alemán, singer, dancer, entertainer, and guitarist extraordinaire, was born in Northern Argentina on February 20, 1909. At the age of six, he was dancing and singing with his family's folk ensemble, the Moreria Sextet. By the age of ten, after his mother had died and father had committed suicide, he found himself an orphan working sporadically as a dancer and musician on the streets of Santos.

Alemán played two guitars - mostly the d-hole Selmer Macafferi (also played by Django Reinhardt), and a National made out of metal. <a href=""https://www.last.fm/music/+noredirect/Oscar+Aleman"">Read more on Last.fm</a>"
Michiel Borstlap,"Over the past decade, pianist and composer, Michiel Borstlap has gained international acclaim for his original music and his highly communicative interpretations of a broad musical scope between pop, jazz, dance and classical music.. 
Borstlap won the prestigious Thelonious Monk Award 1996, which brought him his first major international audience. Applauded at festivals in New York, Sydney, Beijing, Tokyo, Vienna, Berlin, Umbria, Chicago, Cape Town, London etc. <a href=""https://www.last.fm/music/Michiel+Borstlap"">Read more on Last.fm</a>"
David Manuhutu," <a href=""https://www.last.fm/music/David+Manuhutu"">Read more on Last.fm</a>"
Bebo Valdés,"Bebo Valdés (born Dionisio Ramón Emilio Valdés Amaro, in Quivicán, Cuba, on October 9, 1918 - died 22 March 2013, Sweden ), pianist, composer, arranger and director, is considered to be one of the main figures of the golden age of the Cuban music. During the 40’s he played with several orchestras in La Habana, and he already recorded albums of afrocuban jazz in those years. After successive successes with his orchestra Sabor, he finished moving to Stockholm <a href=""https://www.last.fm/music/+noredirect/Bebo+Vald%C3%A9s"">Read more on Last.fm</a>"
Oscar Aleman,"Oscar Marcelo Alemán, singer, dancer, entertainer, and guitarist extraordinaire, was born in Northern Argentina on February 20, 1909. At the age of six, he was dancing and singing with his family's folk ensemble, the Moreria Sextet. By the age of ten, after his mother had died and father had committed suicide, he found himself an orphan working sporadically as a dancer and musician on the streets of Santos.

Alemán played two guitars - mostly the d-hole Selmer Macafferi (also played by Django Reinhardt), and a National made out of metal. <a href=""https://www.last.fm/music/+noredirect/Oscar+Aleman"">Read more on Last.fm</a>"
Charles Schillings,"With over 20 years of playing in the most prestigious clubs around the world, Charles Schillings is one of France's most wanted DJ, combining eclectic and 
melodic sounds of rock, electro-funk, soul-jazz and groovy. He has played at Bercy, Shanghai, Tokyo, London or New York. He is now one of the DJs flagship 
of the French stage, having long been resident in clubs such as The Queen and The Rex in Paris, Le Lotus (New York), Le Cafe d'Anvers (Belgium).  <a href=""https://www.last.fm/music/Charles+Schillings"">Read more on Last.fm</a>"
Mani Deïz," <a href=""https://www.last.fm/music/Mani+De%C3%AFz"">Read more on Last.fm</a>"
IAMPAUL," <a href=""https://www.last.fm/music/IamPaul"">Read more on Last.fm</a>"
The Tepping Trio," <a href=""https://www.last.fm/music/The+Tepping+Trio"">Read more on Last.fm</a>"
Fletcher Henderson & His Orchestra,"From Wikipedia, the free encyclopedia


Fletcher Hamilton Henderson, Jr. (December 18, 1897 – December 28, 1952) was an American pianist, bandleader, arranger and composer, important in the development of big band jazz and swing music. His was one of the most prolific black orchestras and his influence was vast. He was often known as ""Smack"" Henderson.



Biography

Fletcher Henderson was born in Cuthbert, Georgia. He attended Atlanta University in Atlanta <a href=""https://www.last.fm/music/+noredirect/Fletcher+Henderson+&+His+Orchestra"">Read more on Last.fm</a>"
Ahmad Jamal,"Ahmad Jamal (born Frederick Russell Jones in Pittsburgh, Pennsylvania, on 2 July 1930; died 16 April 2023) was an American jazz pianist, composer, bandleader, and educator. For six decades, he was one of the most successful small-group leaders in jazz.[2] He was a National Endowment for the Arts (NEA) Jazz Master and won a Lifetime Achievement Grammy for his contributions to music history. While he invariably recorded as part of a trio or quintet, some releases were as Ahmad Jamal Trio and Ahmad Jamal Quintet.  <a href=""https://www.last.fm/music/Ahmad+Jamal"">Read more on Last.fm</a>"
Desidério Lázaro," <a href=""https://www.last.fm/music/Desid%C3%A9rio+L%C3%A1zaro"">Read more on Last.fm</a>"
Duoscience,"DuoScience is a drum 'n' bass dj/producer from Sao Paulo, Brazil. <a href=""https://www.last.fm/music/Duoscience"">Read more on Last.fm</a>"
Shelly Manne,"Shelly Manne (June 11, 1920 – September 26, 1984), born Sheldon Manne in New York City, was an American jazz drummer. Most frequently associated with West Coast jazz, he was known for his versatility and also played in a number of other styles, including Dixieland, swing, bebop, avant-garde jazz and fusion, as well as contributing to the musical background of hundreds of Hollywood films and television programs.

Manne's father and uncles were drummers. <a href=""https://www.last.fm/music/Shelly+Manne"">Read more on Last.fm</a>"
Brian Tarquin,"Brian Tarquin (born December 2, 1965, New York) is an American jazz musician, composer, guitarist, author and music producer. Tarquin owns a recording studio called Jungle Room Studios near New York and the record label BHP Music/Guitar Trax which specializes in guitar music. Tarquin obtained his musical training from Mannes School of Music (New York), The State University of New York (New Paltz) and Center for the Media Arts (New York).
Early years <a href=""https://www.last.fm/music/Brian+Tarquin"">Read more on Last.fm</a>"
Ella Fitzgerald,"Ella Jane Fitzgerald (April 25, 1917 – June 15, 1996) was an American jazz vocalist with a vocal range spanning three octaves (D♭3 to D♭6). Often referred to as the ""First Lady of Song"" and the ""Queen of Jazz"" or just simply ""Lady Ella"", she was noted for her purity of tone, impeccable diction, phrasing and intonation, and a ""horn-like"" improvisational ability, particularly in her scat singing.
Fitzgerald was a notable interpreter of the Great American Songbook. <a href=""https://www.last.fm/music/Ella+Fitzgerald"">Read more on Last.fm</a>"
Sumkali," <a href=""https://www.last.fm/music/Sumkali"">Read more on Last.fm</a>"
The MaddGeek," <a href=""https://www.last.fm/music/The+MaddGeek"">Read more on Last.fm</a>"
TOKYO SHIOKOUJI,"東京塩麹 <a href=""https://www.last.fm/music/TOKYO+SHIOKOUJI"">Read more on Last.fm</a>"
Stefano Di Battista,"Stefano di Battista (born February 14, 1969) is an Italian jazz saxophonist who plays soprano and alto.
He was born in Rome. He began playing at thirteen with friends and became interested in jazz on hearing Art Pepper. In Italy he received guidance from Massimo Urbani and by his twenties di Battista was performing in Paris. He put out his debut as a leader in 1997 and has toured with the Elvin Jones Jazz Machine. <a href=""https://www.last.fm/music/Stefano+Di+Battista"">Read more on Last.fm</a>"
¡Cubanismo!,"The traditional rhythms of Cuba's horn-driven bands of the 1950s is brought up to date by trumpet player Jesús Alemañy and his fourteen piece band, ¡Cubanismo!. Born on October 14th, 1962 in Guanabacoa, Havana, Cuba, he began studying music at the age of 13 at the Conservatoire Guillermo Tomas in Guanabacoa, concentrating on trumpet, solfege and music theory. Three years later, he was invited to join the group Sierra Maestra, Cuba’s leading contemporary ensemble specializing in the roots style of salsa known as son <a href=""https://www.last.fm/music/%C2%A1Cubanismo%21"">Read more on Last.fm</a>"
Bunk Johnson,"Willie Gary ""Bunk"" Johnson (December 27, 1879* – July 7, 1949) was a prominent early New Orleans jazz trumpet player in the early years of the 20th century who enjoyed a revived career in the 1940s.

*Bunk gave the year of his birth as 1879, although there is speculation that he may have actually been younger by as much as a decade.

Bunk received lessons from Adam Olivier and began playing professionally in Olivier's orchestra. Bunk probably played a few adolescent jobs with Buddy Bolden <a href=""https://www.last.fm/music/Bunk+Johnson"">Read more on Last.fm</a>"
Edward Vesala Ensemble," <a href=""https://www.last.fm/music/Edward+Vesala+Ensemble"">Read more on Last.fm</a>"
Mat Mathews,"    * Born 1924, The Hague, the Netherlands 

One of the stalwart band of jazz accordionists. Mathews caught the jazz bug listening to broadcasts of American Armed Force Radio after World War Two. Working with the only instrument he knew, he started imitating solos Harry James, Coleman Hawkins, and others on his accordion. He was good enough to get work in nightclubs and other venues, and within a few years, was touring throughout Europe.

In 1952, he moved to the U. <a href=""https://www.last.fm/music/Mat+Mathews"">Read more on Last.fm</a>"
Susanne Regen," <a href=""https://www.last.fm/music/Susanne+Regen"">Read more on Last.fm</a>"
Pietro Tonolo," <a href=""https://www.last.fm/music/Pietro+Tonolo"">Read more on Last.fm</a>"
Luiz Ayrao,"Luiz Gonzaga Kedi Ayrão (Rio de Janeiro, 19 de janeiro de 1942) é um cantor e compositor brasileiro. Seus principais sucessos são as canções ""O Lencinho"", ""Porta Aberta"", ""Nossa Canção"", ""Águia na cabeça"" e ""Os Amantes"", esta última gravada em 1977 e que vendeu aproximadamente dois milhões de cópias. 

Nasceu no bairro do Lins de Vasconcelos, no Rio de Janeiro. Filho do músico e compositor Darcy Ayrão (1915–1955), cresceu em ambiente musical. <a href=""https://www.last.fm/music/Luiz+Ayrao"">Read more on Last.fm</a>"
TICO DE MORAES," <a href=""https://www.last.fm/music/tico+de+moraes"">Read more on Last.fm</a>"
"Medeski, Martin & Wood","Medeski Martin & Wood (or MMW) is an American jazz trio formed in 1991, consisting of John Medeski on keyboards and piano, Billy Martin on drums and percussion, and Chris Wood on double bass and bass guitar.
The band draws on influences from a number of musical traditions, from funk to Hip Hop, and is known for an unconventional style sometimes described as ""avant-groove"".
MMW has found moderate mainstream success—often working with noted guitarist John Scofield—and touring on the jam band circuit. <a href=""https://www.last.fm/music/+noredirect/Medeski,+Martin+&+Wood"">Read more on Last.fm</a>"
Arturo Sandoval,"Arturo Sandoval (November 6, 1949 - ) is a Cuban-American jazz and classical trumpeter.
 	
Granted political asylum in July 1990 and US citizenship in 1999, Sandoval and his family now call Miami, Florida home. A protégé of the legendary jazz master Dizzy Gillespie, Sandoval was born in Artemisa, a small town in the outskirts of Havana, Cuba, just two years after Gillespie became the first musician to bring Latin influences into American Jazz. Sandoval began studying classical trumpet at the age of twelve <a href=""https://www.last.fm/music/Arturo+Sandoval"">Read more on Last.fm</a>"
B's Bees,"Montreal group B's Bees is a hard swinging jazz outfit known for writing compelling original music and playing high energy interpretations of the music of past masters such as The Jazz Messengers, Thelonious Monk and Charlie Haden. Comprised of 4 core members and several charter members, they won over their audience at the debut concert at the Montreal International Jazz Festival in 2012.

B's Bees have been in demand at prominent clubs around Montreal and the surrounding area, playing over 100 shows and headlining two weekly Jazz parties. <a href=""https://www.last.fm/music/B%27s+Bees"">Read more on Last.fm</a>"
Jackie McLean,"Jackie McLean  (May 17, 1931 – March 31, 2006) was an American jazz alto saxophonist and educator, born in New York City. His early recordings as leader were in the hard bop school. He later became an exponent of modal jazz and avant-garde jazz without abandoning his foundation in hard bop. Throughout his career he was known for his distinctive withering/piercing/searing  tone, his slightly sharp pitch, and a strong foundation in blues.

His father, John Sr. <a href=""https://www.last.fm/music/Jackie+McLean"">Read more on Last.fm</a>"
Jack Hylton & His Orchestra,"The Jack Hylton archive contains memorabilia from the life and work of Jack Hylton. His career spanned the early 1920s up until his death in 1965. He was a successful bandleader setting trends within popular music of the time in the U.K. and expanding into the world of entertainment. Much of the archive has press cuttings from this period of his career and contains many references to famous stars.


Jack Hylton was born in Bolton on 2nd July 1892. <a href=""https://www.last.fm/music/Jack+Hylton+&+His+Orchestra"">Read more on Last.fm</a>"
Bora Çeliker," <a href=""https://www.last.fm/music/+noredirect/Bora+%C3%87eliker"">Read more on Last.fm</a>"
Ohmega Watts,"With a humble B-Boy swagger and original hip-hop values Ohmega Watts (born Milton Campbell) first released on Ubiquity  with a soulful and DJ friendly solo 12” featuring his group Lightheaded and Quannum artists The Lifesavas. 

“A Request” was an up tempo J5 party-style hip-hop banger with beats to rock dancefloors from coast to coast. While “Illuminate” provided a smoother buttery sound, and “Wind It Up” an instrumental mid-tempo flava…Most of the music on this 12” came together in a live, random, spur of the moment session. <a href=""https://www.last.fm/music/Ohmega+Watts"">Read more on Last.fm</a>"
"YoYo the ""Pianoman"""," <a href=""https://www.last.fm/music/YoYo+the+%22Pianoman%22"">Read more on Last.fm</a>"
Kentaro Takizawa," <a href=""https://www.last.fm/music/Kentaro+Takizawa"">Read more on Last.fm</a>"
Herbie Mann,"Herbert Jay Solomon (April 16, 1930 – July 1, 2003), better known as Herbie Mann, was an American jazz flautist who had an interest in traditional music of other cultures. 

Herbie Mann was born in Brooklyn, New York. Early in his career, he played saxophone and clarinet, but Mann was among the first jazz musicians to specialize on the flute and was perhaps jazz music's preminent flautist during the 1960s.

Mann was quite prolific and performed often. <a href=""https://www.last.fm/music/Herbie+Mann"">Read more on Last.fm</a>"
Mel Tormé,"Melvin Howard Tormé (1925–1999) was born to immigrant Russian Jewish parents whose name had been Torma. A child prodigy, he first sang professionally at 4 with the Coon-Sanders Orchestra, singing ""You're Driving Me Crazy,"" at Chicago's Blackhawk restaurant. 1933-41, he acted in the network radio serials ""The Romance of Helen Trent"" and ""Jack Armstrong, the All-American Boy."" He wrote his first song at 13 and three years later, his first published song, ""Lament to Love,"" became a hit recording for Harry James. <a href=""https://www.last.fm/music/+noredirect/Mel+Torm%C3%A9"">Read more on Last.fm</a>"
Funkee Boy," <a href=""https://www.last.fm/music/Funkee+Boy"">Read more on Last.fm</a>"
Sugarwork," <a href=""https://www.last.fm/music/Sugarwork"">Read more on Last.fm</a>"
Denise King,"Influenced by Nancy Wilson, Marlena Shaw and Sarah Vaughan, Denise King is an expressive, big-voiced singer who combines jazz with elements of R&B, blues and gospel. King was born and raised in Philadelphia, where she was exposed to R&B as a child and discovered jazz at 12 thanks to an uncle who was an avid record collector. After graduating from high school, the Philadelphian entered the medical field and earned her living as a technician and a family-planning counselor. <a href=""https://www.last.fm/music/Denise+King"">Read more on Last.fm</a>"
Chano Dominguez,"Chano Dominguez is a jazz flamenco artist. <a href=""https://www.last.fm/music/+noredirect/Chano+Dominguez"">Read more on Last.fm</a>"
Javier Colina," <a href=""https://www.last.fm/music/Javier+Colina"">Read more on Last.fm</a>"
Magalí Sare," <a href=""https://www.last.fm/music/Magal%C3%AD+Sare"">Read more on Last.fm</a>"
Dani Nel·lo," <a href=""https://www.last.fm/music/Dani+Nel%C2%B7Lo"">Read more on Last.fm</a>"
Chano Dominguez,"Chano Dominguez is a jazz flamenco artist. <a href=""https://www.last.fm/music/+noredirect/Chano+Dominguez"">Read more on Last.fm</a>"
Servando Rascón," <a href=""https://www.last.fm/music/Servando+Rasc%C3%B3n"">Read more on Last.fm</a>"
Beny Moré,"Beny Moré (sometimes Benny Moré, Benny More or Beny More) (August 24, 1919 – February 19, 1963) is considered by many fans of Cuban music as the greatest Cuban singer of all time.
He was gifted with an innate musicality and fluid tenor voice which he colored and phrased with great expressivity. Moré was a master of all the genres of Cuban music, including son montuno, mambo, guaracha, guajira, cha cha cha, afro, canción, guaguancó, and bolero. <a href=""https://www.last.fm/music/+noredirect/Beny+Mor%C3%A9"">Read more on Last.fm</a>"
Orquesta Aragón,"Orquesta Aragón is a Cuban charanga band which was formed on 30 September 1939 by double bassist Orestes Aragón Cantero in Cienfuegos, Cuba. After moving to Havana, they gained great popularity. They have maintained the same instrumentation since, which involves violins, piano, flute, percussion, and vocals. The band has promoted the cha-cha-chá musical style since the 1950s. They are credited with having inspired New York mambo also of the 1950s.

 <a href=""https://www.last.fm/music/+noredirect/Orquesta+Arag%C3%B3n"">Read more on Last.fm</a>"
Wayne Gorbea,"Wayne Gorbea is a salsa/Afro Cuban jazz bandleader from the Bronx, New York. His parents are of Puerto Rican heritage.  He taught himself piano by listening to Eddie and Charlie Palmieri records.  He has always prominently featured trombones in his sound, and he has stuck to the ""salsa dura"" sound rather than the bland pop stylings of many at the top of the salsa charts.  His band, Salsa Picante, wants you to dance as well as listen to the music.  Through many personnel changes in his band <a href=""https://www.last.fm/music/Wayne+Gorbea"">Read more on Last.fm</a>"
Joe Cuba,"Born ""Gilberto Miguel Calderón"" in New York City, Cuba's parents moved from Puerto Rico to New York City in the late 1920s and settled in Spanish Harlem, a Latino community located in Manhattan. Cuba was raised in an apartment building where his father had become the owner of a candy store located on the ground floor (street level floor). His father had organized a stickball club called the Devils. Stickball was the main sport activity of the neighborhood. <a href=""https://www.last.fm/music/Joe+Cuba"">Read more on Last.fm</a>"
Joe Cuba,"Born ""Gilberto Miguel Calderón"" in New York City, Cuba's parents moved from Puerto Rico to New York City in the late 1920s and settled in Spanish Harlem, a Latino community located in Manhattan. Cuba was raised in an apartment building where his father had become the owner of a candy store located on the ground floor (street level floor). His father had organized a stickball club called the Devils. Stickball was the main sport activity of the neighborhood. <a href=""https://www.last.fm/music/Joe+Cuba"">Read more on Last.fm</a>"
Gary Burton,"Gary Burton (born on 23 January 1943 in Anderson, Indiana) is a jazz vibraphone player, known for developing the innovative technique of playing the instrument with four mallets, rather than the usual two.

He studied with Herb Pomeroy at the Berklee College of Music, where he met the composer and arranger Michael Gibbs, with whom he subsequently collaborated frequently.

Burton, who released his debut album in 1961 at the age of 18, spent the early <a href=""https://www.last.fm/music/Gary+Burton"">Read more on Last.fm</a>"
Bobby Darin,"Bobby Darin (May 14, 1936 - December 20, 1973, Bronx NY.) was born Walden Robert Cassotto and was one of the most popular rock and roll American teen idols of the late 1950s. However, he is widely respected for being a multi-talented, versatile performer.

Darin was a very special and talented entertainer. He was a Grammy award winning singer ('Mack The Knife'), a respected member of the Rock and Roll Hall of Fame ('Dream Lover', 'Splish Splash', 'If I Were A Carpenter') a member of the Songwriters Hall of Fame <a href=""https://www.last.fm/music/Bobby+Darin"">Read more on Last.fm</a>"
Jestofunk,"Real Name:	Claudio Rispoli, Alessandro Staderini, Francesco Farias
Profile:	Italian producer/DJ trio, started in 1992, blending jazz and funk roots with electronic house-influenced beats and effects. <a href=""https://www.last.fm/music/Jestofunk"">Read more on Last.fm</a>"
Muff,"1. Muff is a Slovenian band formed in 2011 (http://www.muffofficial.com)
- itunes: https://itunes.apple.com/si/album/muff/id944907598
- Google Play: https://play.google.com/store/music/album/MUFF_MUFF?id=Blnld7uzgzs7be4rehor5gqhvge

More info; https://sl.wikipedia.org/wiki/Muff

2. Muff is a Czech experimental jazz band (http://www.muffmusic.com/)

3. Muff is a NuPunk/Punk'n'Roll band from Hannover, Germany. The band are Sunny (Vocals), Anja (Vocals), Zotte (Guitar), Roman (Bass) and Jan (Drums). <a href=""https://www.last.fm/music/Muff"">Read more on Last.fm</a>"
Harry James,"Harry Haag James (March 15, 1916 – July 5, 1983) was a popular United States musician and band leader, and a well known trumpet virtuoso.

Harry James was born in Albany, Georgia, the son of a bandleader of a traveling circus. By age 10 he was taking trumpet lessons from his father. His father had him on a very strict practicing schedule every day. He was given one page to learn out of the Arban's book (a trumpet drill book) every day and could not do anything until he learned that page. <a href=""https://www.last.fm/music/Harry+James"">Read more on Last.fm</a>"
Carlos Lyra,"Carlos Lyra is a Brazilian musician and composer of numerous bossa nova classics. He was born - as Carlos Eduardo Lyra Barbosa - on May 11, 1939. Along with Roberto Menescal, he was a primary figure of the younger generation of bossa nova musicians who closely followed the inception of the style by João Gilberto and Antonio Carlos Jobim. Later, he joined Nara Leão as part of the bossa's activist wing, seeking a return to its samba roots. Was also an intellectual behind the movement, forging new directions like the protest song.  <a href=""https://www.last.fm/music/Carlos+Lyra"">Read more on Last.fm</a>"
John Burnsby," <a href=""https://www.last.fm/music/John+Burnsby"">Read more on Last.fm</a>"
"Henry ""Red"" Allen","Henry ""Red"" Allen (1906– 1967) was a jazz trumpeter.

Henry James Allen was born on 7th January 1906 in the Algiers neighborhood of New Orleans, Louisiana, the son of the noted bandleader Henry Allen. He took early trumpet lessons from Peter Bocage and Manuel Manetta; some of his lessons from Manetta were taken together with another promising young trumpeter, Emmett Hardy.

Allen was playing professionally by 1924, playing with the Excelsior Brass Band and the jazz dance bands of Sam Morgan, George Lewis and John Casimir. <a href=""https://www.last.fm/music/Henry+%22Red%22+Allen"">Read more on Last.fm</a>"
Tito Rodriguez,"Tito Rodríguez a.k.a. ""El Inolvidable"" (The Unforgettable) (January 4, 1923-February 28, 1973) born in Santurce, Puerto Rico, was a popular 1950's singer and bandleader.

Tito (born: Pablo Rodríguez Lozada) became interested in music as a child. He was always surrounded by musical toys, such as guitars, pianos and trumpets. His older brother, Johnny Rodríguez, was a song composer and bandleader, who inspired Tito to become a musician.

In 1936 <a href=""https://www.last.fm/music/Tito+Rodriguez"">Read more on Last.fm</a>"
Luciana Souza,"Luciana Souza is a Brazilian jazz singer and composer.

Daughter of poet Tereza Souza and singer-composer-guitarist Walter Santos, she grew up in São Paulo. She began her career by recording jingles for commercials. She has also worked in the field of European classical music, working with the Bach Akademie in Stuttgart, the Los Angeles Philharmonic, the Brooklyn Philharmonic, the Atlanta Symphony Orchestra, composer Osvaldo Golijov, the Los Angeles Master Chorale, the New York Philharmonic and the Los Angeles Guitar Quartet. <a href=""https://www.last.fm/music/Luciana+Souza"">Read more on Last.fm</a>"
Machito,"Machito (born Francisco Raúl Gutiérrez Grillo, February 16, 1908? – April 19, 1984) was an influential Latin jazz musician who helped to refine Afro-Cuban jazz and to create both Cubop and salsa music. He was raised in Havana alongside the singer Graciela, his foster sister.
In New York City, Machito formed the band Machito & His Afro-Cubans in 1940, and with Mario Bauzá as musical director, brought together Cuban rhythms and big band arrangements in one group. <a href=""https://www.last.fm/music/Machito"">Read more on Last.fm</a>"
Howard McGhee,"Howard McGhee (b March 6, 1918 Tulsa, OK - d July 17, 1987 New York City) was one of the very first bebop jazz trumpeters, together with Dizzy Gillespie, Fats Navarro and Idrees Sulieman. He was known for lightning-fast fingers and very high notes. What is generally not known is the influence that he had on younger hard bop trumpeters, together with Fats Navarro.

Howard McGhee was raised in Detroit. During his career, he played in bands led by Lionel Hampton, Andy Kirk, Count Basie and Charlie Barnet. <a href=""https://www.last.fm/music/Howard+McGhee"">Read more on Last.fm</a>"
