artista,biografia
['Miguel Bosé'],"Miguel Luchino González Bosé (born April 3, 1956) is a Latin Grammy-winning musician and actor from Spain. He is one of the biggest stars in the Spanish speaking world mainstream, both in Spain and Latin America, and a well-known actor in French cinema as well.

Bosé was born in San Fernando Hospital in Panama City, Panama, the son of the famous Italian actress Lucia Bosé and the legendary bullfighter Luis Miguel González Lucas. He is also cousin of Carmen Ordóñez. His Godfather was Luchino Visconti. <a href=""https://www.last.fm/music/+noredirect/Miguel+Bos%C3%A9"">Read more on Last.fm</a>"
['Radio Futura'],"One of the most important bands to appear in Spain immediately after the end of the Franco regime (1939-1975). With Parálisis Permanente, Gabinete Caligari and Alaska y los Pegamoides, they were very influential in the movement soon to be branded as ""Movida Madrileña"". At the beginning, their sound was deeply influenced by the British New Wave, although they appropriated their influences in a very particular way. Later developments would lead them to embrace other rhythms and influences, mainly from the Caribbean. <a href=""https://www.last.fm/music/Radio+Futura"">Read more on Last.fm</a>"
['Alesso'],"Alessandro Renato Rodolfo Lindblad, professionally known as Alesso, is a Swedish DJ and record producer.

He has performed at numerous music festivals, including Coachella, Electric Daisy Carnival, Creamfields and Tomorrowland. In 2012, MTV named Alesso one of the ""EDM Rookies to Watch"".

He was ranked 13th on DJ Magazine's 2015 list of the top 100 DJs and number 20th in year 2016 on DJ Magazine among the list of Top 100 DJs in the world. His debut full-length album Forever was released on May 22, 2015 by Def Jam Recordings. <a href=""https://www.last.fm/music/Alesso"">Read more on Last.fm</a>"
['Betacam']," <a href=""https://www.last.fm/music/Betacam"">Read more on Last.fm</a>"
['MARLENA'],"Marlena is a three piece experimental rock band formed in Portland, Oregon in 2010 that blends post-metal, alternative, and post-rock to form a melancholic, rich sound, sometimes atmoshpheric, sometimes bleak. With introspective, brutally honest vocals, their sound is not easily categorized. Fans of Jesu, Mogwai, Shannon Wright, Neurosis, Cloakroom, Have a Nice Life, Rope Sect, and Planning for Burial may find like sounds in Marlena.  <a href=""https://www.last.fm/music/Marlena"">Read more on Last.fm</a>"
['George Ezra'],"George Ezra (full name George Ezra Barnett) is a British singer-songwriter from Hertford, England. Born on June 7, 1993, and the son of an art teacher, Ezra grew up in Hertford, attending Bengeo primary school and then Simon Balle Secondary School, before moving to Bristol, England, in 2011 to pursue a music degree at the influential music school “BIMM.” His younger brother Ethan Barnett is also a musician and goes by the name Ten Tonnes.

Ezra's music is described as deep <a href=""https://www.last.fm/music/George+Ezra"">Read more on Last.fm</a>"
['Liam Payne'],"Liam James Payne (29 August 1993 - 16 October 2024), was a singer-songwriter from Wolverhampton, West Midlands, England.  Payne made his debut as a singer in 2008 when he auditioned for the British television series The X Factor. After being eliminated in the competition, he auditioned again in 2010 and was put into a group with four other boys to form One Direction, which went on to become one of the best-selling boy bands of all time.

After One Direction went into hiatus in 2015 <a href=""https://www.last.fm/music/Liam+Payne"">Read more on Last.fm</a>"
['Kokoshca'],"Kokoshca was founded by Amaia Tirapu and Iñaki López, in 2008 in Pamplona. Its name comes from the phonetic distortion of the Austrian painter Oskar Kokoschka.

At first they were a duo and thus created their first album Únete a Kokoshca (ByP, 2008) released by the Madrid label Birra y Perdiz, cradle of other emerging bands of the moment such as Espanto, Antonna (leader of Los Punsetes) or La Otra Gloria. In this first album, the musician Antonio Luque from Sr Chinarro collaborates on the song Azul metal. <a href=""https://www.last.fm/music/Kokoshca"">Read more on Last.fm</a>"
['Sia'],"Sia Kate Isobelle Furler (/ˈsiːə/; born 18 December 1975) is an Australian singer-songwriter, record producer and music video director. She started her career as a singer in the local Adelaide acid jazz band Crisp in the mid-1990s. In 1997, when Crisp disbanded, she released her debut studio album titled OnlySee in Australia. She then moved to London, England, and provided lead vocals for the British duo Zero 7.

In 2000, Sia signed to Sony Music's sub-label Dance Pool and released her second studio album <a href=""https://www.last.fm/music/Sia"">Read more on Last.fm</a>"
['The Civil Wars'],"The Civil Wars were an American musical duo composed of singer-songwriters Joy Williams and John Paul White. After releasing a live-performance album and a four-song EP, their full-length album Barton Hollow was released in 2011. The band won the Grammy Award for Best Country Duo/Group Performance and Best Folk Album in 2012. 

Williams and White met in 2008, during a song-writing session or ""writing camp"" at a music studio in Nashville, Tennessee. <a href=""https://www.last.fm/music/The+Civil+Wars"">Read more on Last.fm</a>"
['Sebastian Yatra'],"Sebastián Obando Giraldo (born 15 October 1994), known professionally as Sebastián Yatra, is a Colombian singer and songwriter. He began as a Latin pop artist and has recorded many ballads, but has released several successful reggaeton singles. Yatra is noted for his romantic lyrics, melding traditional lyricism with modern reggaeton influences. He rose to prominence in Latin America in 2016 when he released the hit ""Traicionera"". He has released <a href=""https://www.last.fm/music/Sebastian+Yatra"">Read more on Last.fm</a>"
['Sexy Sadie'],"Sexy Sadie is a Spanish pop rock group from the island of Mallorca. They sing in English. They have released six full albums, plus one album of cover songs, one of rare tracks, one live album and one of remixes (all on the Subterfuge label). They formed in 1992, part of a wave of independent groups that arose in the early 1990s, along with Los Planetas and Manta Ray. They released their last album, Translate, in April 2006, and split in December. The band name ""Sexy Sadie"" is of course a reference to the Beatles song of the same name.
 <a href=""https://www.last.fm/music/Sexy+Sadie"">Read more on Last.fm</a>"
['Paco Candela']," <a href=""https://www.last.fm/music/Paco+Candela"">Read more on Last.fm</a>"
['Antonio José'],"There are more than one artist with the name Antonio José:
1) Antonio José - Spanish singer.
2) Antonio José - Spanish composer and folklorist.

1. Antonio José Sánchez Mazuecos is a Spanish singer who represented Spain at Junior Eurovision Song Contest 2005, at the age of 11, with the song Te Traigo Flores and placed 2nd.

The song then became the title of his debut album ""Te Traigo Flores"", which merged flamenco with Latin rhythms.

In the summer of 2007 <a href=""https://www.last.fm/music/+noredirect/Antonio+Jos%C3%A9"">Read more on Last.fm</a>"
['Duran Duran'],"Duran Duran (named after a character in Roger Vadim's sci-fi classic, Barbarella) are an electronic  pop rock band that was part of the New Wave movement of the 80s and 90s. Duran Duran have sold over 100 million records, making them one of the world's best-selling music artists. They achieved 30 top 40 singles in the UK Singles Chart (14 of them top 10) and 21 top 40 singles in the US Billboard Hot 100. The band have won numerous awards throughout their career: two Brit Awards including the 2004 award for Outstanding Contribution to Music <a href=""https://www.last.fm/music/Duran+Duran"">Read more on Last.fm</a>"
['Marisol'],"Marisol (o Pepa Flores, su nombre real) es una gran artista del cine y la música española y aunque esté retirada desde hace muchos años eso no hace más que aumentar su popularidad, entre sus seguidores y entre los que la recuerdan en las películas de su infancia.

Inició su carrera en 1960, a los 12 años, en la película ""Un rayo de luz"", con un enorme éxito, no sólo en España sino a nivel internacional incluso en Japón. De ahí en adelante filmó alrededor de 15 películas <a href=""https://www.last.fm/music/Marisol"">Read more on Last.fm</a>"
['Kungs'],"Valentin Brunel (born 17 December 1996), better known by his stage name Kungs, is a French house music DJ, record producer and musician. His collaboration with Cookin' on 3 Burners titled ""This Girl"" reached number 2 on the UK Singles Chart in 2016.

Valentin started his musical career with a djembe gifted by his parents to him at the age of five. Valentin grew up listening to rock and roll classics with his father, including The Who and The Kooks. <a href=""https://www.last.fm/music/Kungs"">Read more on Last.fm</a>"
['Tequila'],"Tequila was an Argentine-Spanish rock band, active between 1975 and 1983. The group consisted of Ariel Rot (guitar), Alejo Stivel (voice), Julián Infante (guitar), Felipe Lipe (bass) and Manolo Iglesias (drums). Tequila was one of the most popular bands in the early years of democracy in Spain.

Tequila emerged after the fall of the Franco regime, years before la Movida Madrileña days. Their music has influences from artists such as Chuck Berry and The Rolling Stones <a href=""https://www.last.fm/music/Tequila"">Read more on Last.fm</a>"
['Tachenko']," <a href=""https://www.last.fm/music/Tachenko"">Read more on Last.fm</a>"
['Lola Indigo'],"Lola Indigo es un proyecto musical formado en 2018 por la cantante Mimi Doblas como vocalista​ y bailarina, junto a Mónica Peña, Saydi Lubanzadio, Laura Ruiz y Claudia Riera acompañándola en el baile.
El 29 de junio de 2018 Mimi Doblas anunció a través de las redes sociales que su música estaba cerca, mediante esta publicación señalaba que no estaría sola en el proyecto y que se rodearía de un cuerpo de bailarinas con lo que se completaría Lola Indigo: <a href=""https://www.last.fm/music/Lola+Indigo"">Read more on Last.fm</a>"
['Sylvia Pantoja'],"Sylvia Pantoja nació en Sevilla un 11 de mayo. Desde muy pequeña respiró el arte de su familia, su abuelo fue un gran cantaor flamenco que ya le hacia bailar al compás de los tangos con sólo 2 años. Sylvia debutó en los escenarios a los 16 años, de la mano de su primo Chiquetete.
A raiz de una aparición en TVE en una gala de Nochevieja, la discográfica EMI la fichó y editó sus dos primeros discos ""18 primaveras"" y ""Sin cadenas"", con un éxito notable tanto en ventas como crítica. <a href=""https://www.last.fm/music/Sylvia+Pantoja"">Read more on Last.fm</a>"
['Ana Guerra'],"Ana Alicia Guerra Morales (born 18 February 1994) is a Spanish singer.[1] She gained national recognition when she took part in series nine of the reality television talent competition Operación Triunfo, where she finished in fifth place. <a href=""https://www.last.fm/music/Ana+Guerra"">Read more on Last.fm</a>"
['Leiva'],"José Miguel Conejo Torres (Madrid, 30 de abril de 1980), más conocido como Leiva, es un músico, cantautor español y multiinstrumentista de rock. En 2001, formó junto a Rubén Pozo la banda de rock en español Pereza, con la que grabó seis discos hasta su separación en 2011. Tras la disolución del grupo, inició una carrera en solitario en la que lleva cuatro discos grabados. <a href=""https://www.last.fm/music/Leiva"">Read more on Last.fm</a>"
['Veintiuno'],"Veintiuno is a Spanish musical group, originally from Toledo and formed in 2011. Currently, its members are Diego Arroyo (vocals, guitar and keyboards), Pepe Narváez (drums), Yago Banet (bassist) and Rafa Pachón (guitarist). <a href=""https://www.last.fm/music/veintiuno"">Read more on Last.fm</a>"
['Hans Laguna']," <a href=""https://www.last.fm/music/Hans+Laguna"">Read more on Last.fm</a>"
['a-ha'],"a-ha is a Norwegian synthpop band. The trio, composed of lead vocalist Morten Harket, guitarist Paul Waaktaar-Savoy and keyboardist Magne Furuholmen, formed in 1982 and left Oslo, Norway for London in order to make a career in the music business. 

The origin of the name a-ha comes from the lyric of an early song. After checking dictionaries in several languages, they found out that 'a-ha' was an international way of expressing recognition, with positive connotations. It was short, a-ha was easy to say and somewhat unusual. <a href=""https://www.last.fm/music/a-ha"">Read more on Last.fm</a>"
['Loquillo Y Los Trogloditas'],"Una de las mejores y más influyentes bandas españolas de rock contemporáneo. 30 años de carrera los avalan desde sus inicios en el año 78. <a href=""https://www.last.fm/music/Loquillo+Y+Los+Trogloditas"">Read more on Last.fm</a>"
['Cuello']," <a href=""https://www.last.fm/music/cuello"">Read more on Last.fm</a>"
['Meghan Trainor'],"Meghan Elizabeth Trainor (born December 22, 1993 in Nantucket, Massachusetts, U.S.) is an American singer-songwriter and television personality. Trainor rose to prominence with her 2014 debut single ""All About That Bass"", which topped the U.S. Billboard Hot 100 for eight consecutive weeks and topped the charts in other countries such as Australia, New Zealand, Canada, Germany, and the United Kingdom.

At age 17, Trainor won the worldwide Sonicbids 2011 Tennessee Concerts Song Contest with her song ""You're Good With Me. <a href=""https://www.last.fm/music/Meghan+Trainor"">Read more on Last.fm</a>"
['Oblique'],"There are several artists called Oblique.
1. Mark Hensel, a drum & bass artist on Nocturnal label.
2. The Spanish synthpop band.
3. The Dutch progressive rock band.

1. Mark Hasnel was an artist from Ipswich, UK who died in a car accident in 1997. He released two 12'' records on Nocturnal. A full-length album was planned on Nocturnal but it never materialized.

2. Two lovers of the electronic music join and form Oblique. They are Sonja (vocals & lyrics) and Gonzalez (synth & programming). <a href=""https://www.last.fm/music/Oblique"">Read more on Last.fm</a>"
['Karina'],"There are multiple artists with this name:

1. Karina Jésica Tejeda (Florida, Vicente López; January 30th of 1986), commonly known as Karina «la Princesita», is an argentine singer-songwriter. She's released eight studio albums, one greatest hits album and one live album.

2. Yu Jimin (Hangul:유지민, born April 11, 2000), commonly known by her stage name KARINA (Hangul: 카리나) is the leader of South Korean girl group aespa (Hangul: 에스파) and a member of South Korean female super-group GOT The Beat. <a href=""https://www.last.fm/music/Karina"">Read more on Last.fm</a>"
['Los Chanela']," <a href=""https://www.last.fm/music/Los+Chanela"">Read more on Last.fm</a>"
['Cosmo K']," <a href=""https://www.last.fm/music/Cosmo+K"">Read more on Last.fm</a>"
['Mujeres'],"Formed in 2007, this quartet from Barcelona, Spain, met at film school where they bonded over a shared love of vintage rock and punk. They started off writing soundtracks to their various film projects. Taking their cues from their US counterparts, the band adopted a “play any show” mentality. Before long they had a set of raucous songs and a loyal following that would turn up to every gig, be it in a dingy dive bar or SXSW.

 https://mujeres.bandcamp.com  <a href=""https://www.last.fm/music/Mujeres"">Read more on Last.fm</a>"
['Fangoria'],"Fangoria is an electro-pop band from Madrid, Spain, the brainchild of Alaska and Nacho Canut. In 1977 Alaska, along with Nacho Canut and Carlos Berlanga formed the band Alaska y los Pegamoides. Later, in 1982, they changed the name to Alaska y Dinarama. In 1989 Carlos Berlanga left, and the band transformed once again, this time adopting the name of the American horror film magazine Fangoria — they had already made clear their fascination with US <a href=""https://www.last.fm/music/Fangoria"">Read more on Last.fm</a>"
['Da Igual'],"Wences Sánchez empieza a despuntar desde bien pequeño como cantante y compositor. Su aire juvenil y desenfadado, junto a un estilo muy peculiar, le dan a sus canciones un toque muy personal que lo diferencian del resto. Su proyecto musical va gestándose poco a poco hasta que, en 2005, nace DA=. 

Tras mucho trabajo y largas horas de ensayo, DA= sale al mercado de forma independiente y autoproduce su primer disco, INJUSTIFICABLE. Sin apenas promoción <a href=""https://www.last.fm/music/da+igual"">Read more on Last.fm</a>"
['P!nk'],"Alecia Beth Moore (born September 8, 1979 in Doylestown, PA), known professionally as Pink (stylized as P!nk), is an American singer and songwriter. She was originally a member of the girl group Choice. In 1995, LaFace Records saw potential in Pink and offered her a solo recording contract. Her R&B-influenced debut studio album Can't Take Me Home (2000) was certified double-platinum in the United States and spawned two Billboard Hot 100 top-ten songs: ""There You Go"" and ""Most Girls"". <a href=""https://www.last.fm/music/P%21nk"">Read more on Last.fm</a>"
['Carlos Baute'],"Carlos Roberto Baute Jiménez (born March 8, 1974; Caracas, Venezuela), best known as Carlos Baute, is a Venezuelan singer and television host. His music is mostly in the Latin pop genre, with some ballads and Bachata.

He is the son of Alfonso Baute and Clara Jiménez and he is of Spanish (his father is from Tenerife and his maternal great-grandparents are from Galicia), Cuban (his maternal grandmother) and Venezuelan descent. At age 13, he started a band called ""Los Chamos"" and released an album entitled ""Con un poco de Amor"". <a href=""https://www.last.fm/music/Carlos+Baute"">Read more on Last.fm</a>"
['Post Malone'],"Austin Richard Post, known professionally as Post Malone, is an American rapper, singer, songwriter, record producer, and actor, born on July 4, 1995. He is recognized for blending a variety of music genres, including hip-hop, pop, R&B, trap, and country. His stage name was created by entering his birth name into a rap name generator.

Post Malone began his music career in 2011 and gained significant attention with his debut single ""White Iverson"" in 2015, which peaked at number 14 on the Billboard Hot 100. <a href=""https://www.last.fm/music/Post+Malone"">Read more on Last.fm</a>"
['Noelia'],"There are several artists who perform under the name Noelia.

 1.) Noelia Lorenzo, this International Latin Music Super Star was raised  in Miami, Florida, mostly known as Noelia, is a Puerto Rican pop singer who rose to fame in 1999. During her career she has had 10 Latin Billboard Top 40 hits, and has eighteen worldwide gold and nine worldwide multi-platinum -certified albums, along with one RIAA-certified Goldrecord in the United States. She has sold more than 4.5 million Albums worldwide.  <a href=""https://www.last.fm/music/Noelia"">Read more on Last.fm</a>"
['VINAI'],"VINAI is an electronic music group formed in 2011 by Italian producers Alessandro Vinai (Brescia, 25 January 1990) and Andrea Vinai (Brescia 10 January 1994). As a duo, they have produced EDM songs. The success started with the publication of the single ""Raveology"" in January 2014 with DVBBS on Spinnin' Records.
 <a href=""https://www.last.fm/music/Vinai"">Read more on Last.fm</a>"
['Manuel Carrasco'],"Manuel Carrasco (born January 15, 1981) is a Spanish singer who was born in Isla Cristina, Province of Huelva (Andalucía), Spain. He was one of the three finalists of the second edition of TV program Operación Triunfo and his debut album called ""Quiéreme"" sold more than 200,000 records. <a href=""https://www.last.fm/music/Manuel+Carrasco"">Read more on Last.fm</a>"
['Chaqueta de Chándal']," <a href=""https://www.last.fm/music/Chaqueta+de+Ch%C3%A1ndal"">Read more on Last.fm</a>"
['Leif Garrett'],"Leif Garrett (born Leif Per Nervik on November 8, 1961 in Hollywood, California) is an American actor & singer who became famous in the late 1970s as a teen idol. 

Leif Garrett burst onto the scene in 1968 at the early age of five. Garrett began a career in acting with his debut in the quintessential period film, Bob & Carol & Ted & Alice. He starred in over sixty hit television shows, such as being the semi-regular on the critically acclaimed hit television shows, The Waltons and Family. <a href=""https://www.last.fm/music/Leif+Garrett"">Read more on Last.fm</a>"
['Dani Fernández'],"Daniel Fernández Delgado was born December 11, 1991 in a town of Ciudad Real, Alcázar de San Juan, where at present lives. It studies in the Secondary School Juan Bosco.  It has a sister of 18 years old, Noelia, and its parents are named Marcial, and Mª Carmen.

It charms to come out with its friends or to be connected to Internet.  Is a great lover of the soccer and its team is the Athletic of Madrid.  Its favorite player is Sergio Agüero and many say that seems to Fernando Torres <a href=""https://www.last.fm/music/Dani+Fern%C3%A1ndez"">Read more on Last.fm</a>"
['Miley Cyrus'],"Miley Ray Cyrus (born Destiny Hope Cyrus; November 23, 1992) is an American singer, songwriter, and actress. Regarded as a pop icon, Cyrus has been recognized for her evolving artistry and image reinventions. She is a daughter of singer Billy Ray Cyrus, and deemed one of the few examples of a child star with a successful entertainment career as an adult. Cyrus emerged as a teen idol as the title character in the Disney Channel television series Hannah Montana (2006–2011), which evolved into a commercially successful franchise. <a href=""https://www.last.fm/music/Miley+Cyrus"">Read more on Last.fm</a>"
['No Me Pises Que Llevo Chanclas'],"No me pises que llevo chanclas is a spanish pop band formed in 1986 in Los Palacios (Seville province). Their musical style is known as ""agropop"" (rural pop), humoristical pop sung in western andalusian dialect.

When the band was dissolved, its vocalist, Pepe Begines, started his solo career, as TV presenter and singer. He released two albums: ""Gira Mundial"" (2002) and ""Mi Propia Pelicula"" (2004).

- Members
*Pepe Begines, singer
*Alvaro Begines, guitar <a href=""https://www.last.fm/music/No+Me+Pises+Que+Llevo+Chanclas"">Read more on Last.fm</a>"
['Los Yakis']," <a href=""https://www.last.fm/music/LOS+YAKIS"">Read more on Last.fm</a>"
['Blas Cantó'],"Blas Cantó was born on 26 October 1991, in Molina de Segura, Murcia, Spain. He is one of the youngest artists from the region of Murcia, a region which he has represented at national and international level.

His fondness for music began when he was very small. When he was only two years old, he was singing songs of Pimpinela, somewhat unusual in his generation.

His musical path begins in his hometown of Molina de Segura, when at the age of 3 or 4 he was invited to perform at anniversaries, baptisms and communions to sing for the guests. <a href=""https://www.last.fm/music/+noredirect/Blas+Cant%C3%B3"">Read more on Last.fm</a>"
['Carlos Berlanga'],"Carlos Berlanga was an important Spanish painter, singer, and composer who was most often associated with Alaska y Dinarama, and Alaska y Los Pegamoides, having penned such classic songs as ""Bailando,"" ""Ni tú ni nadie"" and ""A quién le importa."" He had a successful solo music career as well as a career in art, having painted the poster for Almodovar's film Matador. He passed away on June 05, 2002 but he will live on forever in our hearts. <a href=""https://www.last.fm/music/Carlos+Berlanga"">Read more on Last.fm</a>"
['Diego Martín'],"http://www.diego-martin.es/ <a href=""https://www.last.fm/music/+noredirect/Diego+Mart%C3%ADn"">Read more on Last.fm</a>"
['The Cardigans'],"The Cardigans are a Swedish band that formed in Jönköping, Småland, Sweden in 1992. The band's musical style has varied greatly from album to album; encompassing their early indie-leanings passing through '60s-inspired pop and more band-based rock. Their current lineup is Nina Persson on vocals, Peter Svensson on lead guitar, Magnus Sveningsson on bass guitar,  Bengt Lagerberg on drums and Lars-Olof Johansson on keyboards and guitar. 

The five-piece met as teenagers in Jönköping <a href=""https://www.last.fm/music/The+Cardigans"">Read more on Last.fm</a>"
['El Arrebato'],"Javier Labandón, más conocido por su nombre artístico El Arrebato, es un cantautor español de rumba-pop y flamenco.

Comenzó su carrera artística sobre 1985 y su carrera discográfica en 1988 sacando su primer disco con el grupo Piel morena en el que le acompañaban 2 grandes amigos de su Sevilla natal . Con ellos cosechó sus primeros éxitos hasta el 8 de septiembre de 1998, cuando Piel Morena se disolvió definitivamente tras varios cambios en la formación. <a href=""https://www.last.fm/music/El+Arrebato"">Read more on Last.fm</a>"
['MEDUZA'],"There are more than one act called Meduza:

1. Meduza are an Italian production trio consisting of Luca de Gregorio, Mattia Vitale and Simone Giani. They are known for their 2019 breakthrough song ""Piece of Your Heart"" which was a collaboration with British production trio Goodboys. Meduza have created a melodic, yet energetic sound, set to be the climactic point in Ibiza's ever thriving tale of upfront musical taste making;

2. Meduza is a punk /rock band from Oslo, Norway. <a href=""https://www.last.fm/music/Meduza"">Read more on Last.fm</a>"
['Swing Out Sister'],"Swing Out Sister are a British pop musical group best known worldwide for their 1986 hit single Breakout.

The group presently comprises Andy Connell (born Andrew John Connell, Jul 26, 1961, Nottingham; keyboards) and Corinne Drewery (born Sep 21, 1959, Nottingham; vocals), though it began as a trio in the United Kingdom. The group was initially formed by Connell and Martin Jackson (drums), in 1985 who were later joined by Drewery. The group's name came from a 1945 movie called Swing Out <a href=""https://www.last.fm/music/Swing+Out+Sister"">Read more on Last.fm</a>"
['Vanesa Martín'],"Vanesa Martín is a spanish singer from Málaga. <a href=""https://www.last.fm/music/+noredirect/Vanesa+Mart%C3%ADn"">Read more on Last.fm</a>"
['Pyllo Cortes']," <a href=""https://www.last.fm/music/Pyllo+Cortes"">Read more on Last.fm</a>"
['Kenny Man']," <a href=""https://www.last.fm/music/Kenny+Man"">Read more on Last.fm</a>"
"['Emilia, Pardo y Bazán']"," <a href=""https://www.last.fm/music/Emilia,+Pardo+y+Baz%C3%A1n"">Read more on Last.fm</a>"
['Potito'],"Antonio Vargas Carrión, ""El Guara"" (Sevilla,1​ 1972 ) es un charolista español gitano de Alcalá y aficionado al baile flamenco,

Desde muy niño, actuaba cantando flamenco y bailando en los barcos de turistas, en el río Guadalquivir. Aun adolescente, colaboró con artistas como Paco de Lucía (""Zyrjab""),​ y en 1996 ya había publicado dos discos con las colaboraciones de Vicente Amigo y otros. Después, aparte de realizar un gran número de actuaciones a nivel internacional <a href=""https://www.last.fm/music/Potito"">Read more on Last.fm</a>"
['Greeicy'],"Greeicy Yeliana Rendón Ceballos (born 30 October 1992) is a Colombian actress and singer.

She remained in Cali for the first five years of her childhood, until her parents, Luis Alberto Rendón and Lucy Ceballos, decided to move to Bogota. Since she was a child, she has an interest in interpretation and music, and took classes in acting, piano, flute, guitar and singing.

Her first participation in the screens, was in the 2007 edition of the reality show for talents children's Factor Xs <a href=""https://www.last.fm/music/Greeicy"">Read more on Last.fm</a>"
['MARÍA TOLEDO']," <a href=""https://www.last.fm/music/Mar%C3%ADa+Toledo"">Read more on Last.fm</a>"
['Rayo']," <a href=""https://www.last.fm/music/Rayo"">Read more on Last.fm</a>"
['Álvaro De Luna']," <a href=""https://www.last.fm/music/%C3%81lvaro+De+Luna"">Read more on Last.fm</a>"
['Avicii'],"Tim Bergling (born September 8, 1989 in Stockholm, Sweden, died April 20, 2018 in Muscat, Oman), better known by his stage name Avicii (stylized as ΛVICII and ◢ ◤), was a Swedish DJ, remixer and record producer. Avicii was ranked 3rd on DJ Magazine‍‍ '​‍s annual Top 100 DJs in 2012 and 2013 and has been nominated twice for a Grammy Award, once for his work on ""Sunshine"" with David Guetta in 2012 and once for his song ""Levels"" (which sampled the 1962 Etta James track ""Something's Got a Hold on Me"") in 2013. <a href=""https://www.last.fm/music/Avicii"">Read more on Last.fm</a>"
['Los Piratas'],"Los Piratas (sometimes known only as Piratas) were a pop-rock group from Vigo (Spain), led by Iván Ferreiro (lead vocalist and author of most of the songs).

Their first album was ""Los Piratas"", a live record, followed by ""Quiero hacerte gritar"", their first  studio album. Later on they would release ""Poligamia"" and ""Manual para los fieles"". Their next album, ""Fin de la primera parte"" (end of the first part), was a special album that recapped their best songs and marked a changed towards much more complex style. <a href=""https://www.last.fm/music/Los+Piratas"">Read more on Last.fm</a>"
['Airbag'],"There are  at least 9 bands with the same name:

1. Airbag,  from Norway
2. Airbag, from Spain
3. Airbag, from Argentina
4. Airbag, from South Korea.
5. Airbag, from Bulgaria
6. Airbag, from the Netherlands
7. Airbag, from China
8. Airbag, from Japan
9. Airbag, from Czech Republic

1 .Airbag is a five member progressive rock group from Norway. The line up (from 2010) is Anders Hovdan - Bass, Asle Tostrup - Vocals, guitar, Bjørn Riis - Guitar, vocals, Henrik Fossum - Drums and Jørgen Hagen - Keyboards. <a href=""https://www.last.fm/music/Airbag"">Read more on Last.fm</a>"
['Nueva Vulcano'],"After Aina split up, Artur Estrada, his singer and guitarrist decided to make a new band with Albert Guárdia (also Drummer for The Moon Men) and Bassist ex-Shanty Rd.'s Wences Aparicio. Their sound is inclassificable in any genre, some influences are Los Planetas, My Bloody Valentine, Hüsker Dü and Jawbox. ¡A mi me gustan más que a un tonto un lápiz! (I like them more than a fat kid loves cakes!) <a href=""https://www.last.fm/music/Nueva+Vulcano"">Read more on Last.fm</a>"
['Diamante Negro'],"Un fisioterapeuta, un enfermero y un técnico de sonido. Dos de ellos fueron amigos y luego compañeros de escenario y al otro lo conocieron en la escena barcelonesa, concretamente en las caóticas noches de fiesta de la capital catalana. La primera vez que tocaron juntos no sabían ni qué era exactamente Diamante Negro. Probablemente a día de hoy tampoco lo saben, aunque a diferencia de cómo era antes, ahora les da igual y por eso basan su música en la libertad y en la ausencia de límites. <a href=""https://www.last.fm/music/Diamante+Negro"">Read more on Last.fm</a>"
['Shinova'],"Shinova is a Spanish alternative rock group, formed in 2008 in Berriz, Vizcaya (Spain). The band's music were initially close to hard rock and alternative metal, they were often compared to Spanish compatriots Sôber, Savia and Skizoo. However, since 2014's Ana y el Artista Temerario released via Spanish label Maldito Records, the music has become more indie rock-oriented. Their fourth album Volver was released in 2016 via Warner Music and peaked at no. 49 in Spanish Albums Charts <a href=""https://www.last.fm/music/Shinova"">Read more on Last.fm</a>"
['Fito y Fitipaldis']," <a href=""https://www.last.fm/music/Fito+Y+Fitipaldis"">Read more on Last.fm</a>"
['Pablo Prisma y las Pirámides']," <a href=""https://www.last.fm/music/Pablo+Prisma+y+las+Pir%C3%A1mides"">Read more on Last.fm</a>"
['Melenas'],"Melenas are an indie guitar pop band from Pamplona, Spain. Their self-titled début album, Melenas, was released in November 2017. Sophomore outing, Dias Raros, followed in May 2020 on Trouble In Mind Records. <a href=""https://www.last.fm/music/Melenas"">Read more on Last.fm</a>"
['Massiel'],"Massiel (real name Maria de los Angeles Santamaria Espinosa) is a Spanish singer. She was born on August 2, 1947 in Madrid but her parents were from Asturias. His father Emilio was a renowned artist manager.

 Her cuban ballet teacher put María the nickname of Massiel. She made her debut in 1966 with ""Di que no"", considered as one of the first protest songs in Spain, a genre that would increase its popularity till the end of the Franco's dictatorship.  <a href=""https://www.last.fm/music/Massiel"">Read more on Last.fm</a>"
['Miss Caffeina'],"Miss Caffeina are five guys who are really into making music. Their passion for music has been the motor that has kept  the group running from the moment they formed  to the present day. Together they've recorded 4 EPs and 1 full-length album. The group still finds time to make music even though the members live in different cities around Spain. 

Destrucción Creativa (2007) was their first EP. Recorded in Granada, Spain, with help from Eric from Los Planetas, (who was giving drum lessons in the same studio) amongst others. <a href=""https://www.last.fm/music/Miss+Caffeina"">Read more on Last.fm</a>"
['David DeMaría'],"David DeMaría (born January 20, 1976) is a Spanish singer and songwriter. David was born in Jerez de la Frontera in Cádiz Province, Spain. His career started when he was 14 years old with the Spanish group Kelliam 71. He was with them for 6 years. His first solo album came when he was 19 years old. The self-titled album was followed with Soñar Despierto {Dreaming Awake} in 1997, El Color del Destino {The Color of Destiny} in 2001, Sin Miedo a Perder {Without Fear of Losing} in 2003, and Barcos de Papel {Paper Boats} in 2004. <a href=""https://www.last.fm/music/+noredirect/David+DeMar%C3%ADa"">Read more on Last.fm</a>"
